Timestamp,Flowrate,Water Depth,Water Temp,Sed Pan Weight,Sed Auger Hz,Main VFD Hz,Fill VFD Hz,Empty VFD Hz,Eductor VFD Hz
2023-02-09 13:58:50.813394,0.0,-0.51,13,-0.27,0,0,0,0,0
2023-02-09 13:58:51.332174,0.0,-0.51,13,-0.3,0,0,0,0,0
2023-02-09 13:58:51.835366,0.0,-0.49,13,-0.26,0,0,0,0,0
2023-02-09 13:58:52.335929,0.0,-0.47,13,-0.33,0,0,0,0,0
2023-02-09 13:58:52.843017,0.0,-0.45,13,-0.37,0,0,0,0,0
2023-02-09 13:58:53.349607,0.0,-0.37,12.9,-0.48,0,0,0,0,0
2023-02-09 13:58:53.907579,0.0,-0.45,12.9,-0.44,0,0,0,0,0
2023-02-09 13:58:54.412337,0.0,-0.45,12.9,-0.46,0,0,0,0,0
2023-02-09 13:58:54.921268,0.0,-0.33,12.9,-0.48,0,0,0,0,0
2023-02-09 13:58:55.421314,0.0,-0.45,12.9,-0.5,0,0,0,0,0
2023-02-09 13:58:55.934968,0.0,-0.41,12.9,-0.44,0,0,0,0,0
2023-02-09 13:58:56.448359,0.0,-0.41,12.9,-0.53,0,0,0,0,0
